"","gII_1","gII_2","gII_3","gII_4","gII_5","gII_6","gII_7","gII_8","gII_9","gII_10","gII_11","gII_12","gII_13","gII_14","gII_15","gII_16","gII_17","gII_18","gII_19","gII_20","gII_21","gII_22","gII_23","gII_24","gII_25","gII_26","gII_27","gII_28","gII_29","gII_30"
"gene 1",4.78500391172502,1.50514661268642,4.5257516681882,3.70126673631905,4.14274521283703,5.39200787430893,5.24012366370673,2.46527738371458,1.9013108981015,4.85948977534684,4.24282674433687,3.18343726590807,5.05661289570857,2.48820155869257,3.76797935715726,3.0410869311255,5.30138791221066,3.3896170028863,4.93130496625994,5.24225398732093,2.74629977911985,4.71858339899106,5.72071024609516,4.31535164786235,4.0942570660467,2.73739942824238,2.75745587389408,3.03787249153737,4.88058905095351,1.86278666820269
"gene 2",5.50629974180518,3.69118108652569,4.00229288610935,4.09704229281392,6.75490299532786,4.0726081357645,4.05795112167686,3.04443897780623,4.3297196055949,6.15639476255913,3.92714747428125,5.15311638424588,5.06557168558148,3.9316229640235,4.09233270895791,5.98268831276867,6.68475435314055,3.70695975491882,5.50090239284518,5.7971652710598,4.49661944566159,3.71027381617515,4.77821421087447,5.81486668995193,4.41543972449108,4.07261089421717,5.23038147281556,3.08672696218036,5.86534886562374,5.01633035882151
"gene 3",4.764431968616,3.8147305733321,5.8547917222636,4.03770665333222,4.6154959745108,6.69928682615201,6.71275235013061,5.60909233362923,4.94730642494257,5.07115572181488,3.90606956740586,4.88140708785162,6.47703074201525,5.83533624483809,6.77648965517079,6.12483011057604,5.40998007124944,5.16214823356331,5.54408871461887,5.46658343298771,5.84024265800793,3.68945673473736,5.08037275259948,5.54787275439231,5.32845454734282,5.74898501599999,5.51187188355365,5.7064099369596,5.4407588381762,5.90335138467797
"gene 4",6.23914426492953,2.84119347649922,1.22115604769278,3.87934771316533,5.10835819299284,5.84194574977771,6.06182678966401,2.98975057900122,2.34005093640705,4.81230952964198,3.64940239370317,4.54870859185843,7.41337528829805,3.08052316562375,2.7573100379558,2.21186275051014,4.7682630268087,3.19062494977935,5.92832230626457,6.90367540518483,2.69965753884717,3.45274154364444,5.25691744541788,2.28242001648858,2.59795665910766,6.35197020189635,2.53666004318293,4.2534381940464,6.66922070234329,4.44214265228996
"gene 5",6.04118085099652,2.56680559718356,4.38241138852522,5.4112268927644,4.54594711807564,4.61480310745543,4.51555883917071,4.13291475598924,4.31602591780807,2.81022990901557,4.40556901280007,3.90228688312866,5.45897212637299,2.63330885126525,3.60832275498622,2.78100008978881,4.36581361921626,2.95877049882377,2.59941973461583,4.38794148763294,3.09468072679843,4.25303398257873,3.4293400472272,5.28004053399975,2.88276876512315,4.84435574333664,1.83465850838532,3.57201128149389,4.02319893374909,2.19719191831891
"gene 6",6.95683057284701,5.42545483133423,5.36374426701489,4.81246551534099,5.6214152807143,5.81087522465509,8.03127676388153,4.88053542679301,6.79836161344754,4.3085162888125,5.12029116156418,5.53712006655049,5.64441111511154,4.47130143460023,5.17180818808747,4.86544082749712,7.13787472439473,4.97785797736407,9.64086732671399,7.1112460484785,5.02739801461736,6.35201457786984,6.61693328741011,7.65502297272893,5.68902951146771,6.22561680875181,4.3360532869697,4.90428720541272,6.94442713231827,3.90967625066278
"gene 7",7.86828688065139,3.86978166306798,2.34736035479154,2.47080391173993,4.68469280635411,4.44855646971119,5.0318668819016,2.68146799002138,1.38065445420579,5.80283586914878,2.96013176175097,3.76527058038076,6.22758187646705,2.37125553057974,4.8006081620178,2.7561279229564,5.37735883583492,2.74176639847889,5.02790434448384,6.47763956178341,2.68981840960925,3.82268494715912,3.05559333900344,4.32570426431121,4.75833694763448,1.80010001025387,2.88443660777257,4.27586162407349,4.96200877150231,4.01463105746774
"gene 8",6.62820005663839,2.34342046699106,2.90194060445876,2.34149228175236,5.57679577155882,5.53588329761532,5.70972158251264,2.10402337247291,3.5197313865463,5.92729528152676,5.20977679531424,6.2227202110913,4.84547089820203,3.39555617370689,6.46336415729468,3.41156357516058,6.83191124940283,2.81357901909747,7.9787349194873,5.63821307703364,3.28410114298974,4.3860302420632,5.2180200213337,6.29252219351787,4.64468567018376,2.72911152601185,3.74768131492362,5.7149785521246,5.58290468754329,2.93385039480061
"gene 9",8.93699596775344,4.00024555178924,4.92914661953395,4.08167607114069,5.24773378345033,5.88958527450948,6.56462790385988,5.35078127070881,3.39972041482157,6.0397785412876,5.70598775160232,6.91156289570549,5.42478257792284,4.62105130791284,7.54313207988661,3.05541994328145,6.38758034001085,4.63825454676844,6.77477646126317,6.90758894903542,4.89352846630145,6.20083382394834,6.74908711939385,5.54830022686316,4.37702896231095,5.08750851594303,3.26694314974082,4.30684671250456,4.51162589159281,5.10541577298171
"gene 10",4.62925437944599,4.59842974565699,3.53721768323139,2.12449611236268,6.59757016026384,5.50198918331029,7.3515736587962,2.58772185774789,3.90040102224859,4.99051879970567,4.876047268294,4.99869336411046,6.22107577392409,2.49147387928509,7.15156054801595,3.27313015971848,4.23722108651849,4.43058596800638,6.79424583542854,5.69390686962553,0.999109354451525,4.47418680591358,5.40930062562869,7.51603650032353,5.59591938031459,3.87815136924481,2.95056425951185,4.8855912897346,6.597685506455,5.31720967004987
