"","gI_1","gI_2","gI_3","gI_4","gI_5","gI_6","gI_7","gI_8","gI_9","gI_10","gI_11","gI_12","gI_13","gI_14","gI_15","gI_16","gI_17","gI_18","gI_19","gI_20","gI_21","gI_22","gI_23","gI_24","gI_25","gI_26","gI_27","gI_28","gI_29","gI_30"
"gene 1",3.5217754096437,3.86417834782259,0.992063538210052,4.364808504261,2.80429471027518,4.12297920125291,3.77499648064733,4.59650768346862,1.7412177425118,3.53639268134595,3.25999360408769,5.04670867556316,2.81821169428866,5.75921930373182,3.72718938043672,3.93353236289061,4.88301182192659,3.53922227925078,4.49206844631962,4.90708186585293,4.39507575094207,2.08930898422355,5.50217683231968,5.65840178384511,3.37250417859713,3.55719226360704,2.34768010660432,7.39579435716264,4.31848131911289,5.04004654163184
"gene 2",2.20553068421661,5.25917028446347,4.25886047223918,2.45598366432814,3.4283250604624,0.649776615280648,7.28150596049229,3.52209115172467,2.09086802079238,2.51145569859199,4.09608286210756,5.92552923375146,3.97733437425941,6.02570795636854,4.553608889493,4.93133526127458,4.87504872770051,5.63420864410208,5.63666454345226,5.28605655762573,2.95963694958822,1.51908673005548,2.49227476989123,4.9658095731506,2.93970844773993,4.44788037885779,2.42519826770525,5.71325251638852,4.45886799207562,6.55583062190024
"gene 3",4.68594941694503,4.57831335319965,3.85096081524395,5.33004107237351,2.66418724348537,2.31738741708952,4.87581097191019,2.08952103202272,2.36443401374363,4.49989166669268,4.33931567637894,3.73324948876831,2.82195973196938,6.57183162378631,3.91024550465385,2.50772628098849,3.35694623215047,3.99018635189289,6.04544561011283,3.14997288832414,1.65888799168293,4.22294487328226,4.17122549963037,2.91793963895376,4.44752698627675,3.52862634101209,3.13240486924902,4.3233939594343,4.2578828446704,4.15087486040753
"gene 4",3.37010448944091,2.28365177609978,4.49345587785882,4.01168792846488,5.87614598748928,2.69176256991666,6.22438616957499,1.25744466811231,3.28252041761294,4.00926745022033,2.80392220868443,6.73450720195225,6.37415010873595,7.33320496524375,4.52045197192845,3.80530639740384,4.73288512434202,3.36074456801902,4.00400265682811,7.17548769368459,3.6971957973628,3.78922789972188,4.72439620176704,3.95892315634207,2.22930850965036,6.06772324089646,3.09841609824558,6.00879282054881,5.1451521763814,7.34435576342941
"gene 5",4.44208612079554,5.2340055871658,5.80917006042266,6.4702849452115,6.81443043595986,5.5804916741267,4.81943451800286,3.09802431913012,4.6249302983391,4.8563384977228,6.56133858955661,4.99084275758798,5.87092670783743,5.98225492677047,5.79265163877944,4.97287183181211,4.58674820827848,4.31298274549582,5.79556267928198,6.34182247064333,4.81472888429228,6.12313465941781,4.4512981375677,3.88763487775827,6.12757594705068,6.7387622320544,3.91283670639956,7.09224138643957,6.12504503454923,6.63193565856024
"gene 6",4.29045130019211,4.08503541374429,4.26839600253279,3.17455093418166,3.45069701373556,3.04507189090941,7.14550007295421,4.71740509620128,6.84228726294727,4.69021643458194,3.80237619301661,7.26824491629773,5.26053885118334,7.34106817476773,7.49396286885067,5.07909163135331,5.68678097206434,6.30799991471693,6.06730971147486,8.2941173742549,4.80771640352769,3.59659483926963,4.27027572793381,4.5126481844403,3.65489916308822,6.15855131786854,4.43564909433478,7.84545118846311,3.74189971339186,6.71785504850757
"gene 7",3.48614816509797,2.89674326192922,2.7559352939348,1.94774939982694,3.55352936792369,2.06885950864822,4.03449359331395,2.39111589414869,2.60195999345757,3.95460617896123,1.30853285971029,5.77461708411197,2.98131136505073,5.4103553051546,3.69206808933965,5.30953912956657,5.10987407072261,4.02403288394284,4.1107193552457,6.06427816455328,4.34644849053809,1.72252182400477,3.62572398151894,1.98733942769584,3.62812570452894,4.08245706257012,3.11793213141571,6.03977456813221,3.26041923939646,5.05524061566191
"gene 8",5.91884375511653,1.9454626356571,2.66498601189909,3.41299988804847,4.47098106382372,4.26510597254235,5.39016729139939,2.88975237095866,3.38790101785173,4.19861839477494,4.60298110259252,6.63585604427682,4.64015835278548,5.8599655096927,4.5826469645561,3.91181702716648,6.20299830063284,4.857439128556,3.15554787920178,5.95237023563326,3.340039800507,4.7575474474377,4.31241285310044,5.50776206277016,3.82070670287985,3.60720838305014,4.65537644170122,7.09387243110733,4.63995913638548,6.49369269756134
"gene 9",4.85115527585228,5.38985704210351,4.2624454224479,5.52103305277798,5.59686316660074,3.80316366647425,5.42783020556403,4.12980228060553,6.19213922338562,7.31452500100663,3.76933334504723,4.66651914767084,5.20959506406371,5.96614039921424,5.56978308836288,4.8274414665025,5.51690890008406,5.38126438333402,3.14308769411025,4.37200216690039,5.81358092394219,4.76493184976788,7.80176671364628,4.96994522488072,3.56631698540971,4.70729913300828,4.52467765651922,7.28646191076798,3.79550844189961,7.00370323380745
"gene 10",3.80605848992248,5.46672679227396,5.74446227521167,5.69871490131177,5.72933656681523,4.9607902053159,5.02181169356255,5.38196070533813,3.47450747777971,3.65721424326349,5.56246358908857,7.38654937140394,5.9141851661366,6.22355212989117,6.34786360265028,7.98916596889937,8.08752179048607,3.69243504964384,7.07844703630124,5.76361349370256,3.74773624853118,5.23857055419746,7.87947057034769,5.21283745472583,6.45186508759262,7.28477794825211,5.762055409923,8.94003444983457,6.47666559644642,7.71913901757741
