"","X1A","X1B","X1C","X1D","X2A","X2B","X2C","X2D","X3A","X3B","X3C","X3D","X4A","X4C","X4D","X5A","X5C","X5D","X6A","X6B","X6C","X6D"
"ENSMUSG00000000148",7.59795723829334,7.36447320216544,7.73521455769396,7.71890519416583,7.82168996105047,8.08904454897713,8.00580379445296,8.00134660292581,7.74039885829328,8.50336451510235,8.24673529535464,7.96824764253088,7.67436205645391,7.84389442478892,7.77449778396513,7.6166906456197,7.92628651205816,7.33611102595937,7.5124747467826,7.42781303006633,8.04573572483153,7.8700181398754
"ENSMUSG00000000184",8.35488479772716,8.95089582304796,8.57325842406923,8.82964537459355,8.72419671908441,8.6694960344863,8.69615344608618,8.62036673546712,9.2754858434175,9.05822206272537,8.65211946536335,9.22123412088284,9.28178581311303,9.09144758487062,9.29103073428817,9.30331586928823,8.90468077560491,8.90976666519517,8.78710508862146,8.77028566255608,8.88766398125069,8.17262749274263
"ENSMUSG00000000295",7.6265217952628,7.50018461983363,7.42061378022867,7.66367859867214,7.44788629682012,7.38266358969562,7.27896008963175,7.51023205345121,7.40338169421166,6.44172891858298,7.39155643998978,7.42897778477495,7.08266059684799,7.15717174797451,7.1337869637387,7.09721827105952,7.29980958299372,7.45823872140427,7.51942300643616,8.47238709393525,7.21506784162131,7.58105050773459
"ENSMUSG00000000305",9.57231181660199,9.17339248215667,9.51155884556358,9.64413624211151,9.3229485228655,9.41272087351141,9.31403445701902,9.57923467644658,9.30589101339244,8.94185209153533,9.31443341055592,9.36597377866816,9.28402764862665,9.17889440883697,8.73498752819458,8.94824818299834,9.41153043032939,9.36886671310412,9.43851748994374,9.39393165411467,9.1658037532836,9.62942637822932
"ENSMUSG00000000957",5.88537231209839,5.63695838919233,6.08310990113585,5.84237687665389,5.9915632089353,5.61643324213626,5.97089928375734,5.65212915281186,5.25261011810053,4.2612916275394,5.73827528108077,5.68339721292405,5.23966235056917,5.80011232030804,5.55544791128214,6.1665744187214,5.69015710685374,6.82535934521519,6.08735406906443,4.5503525858832,6.08339521325189,6.13247790022711
"ENSMUSG00000001156",8.61219418812743,8.66122704323594,8.80097301913799,8.94415460714159,8.77573883575191,8.8402477643025,9.03478207932892,9.04012642717802,8.93481360293577,9.80035668122687,9.09308885805561,8.98343011359333,9.32814796930984,9.29263326772491,8.87468182096922,8.95382873264408,9.07687481548711,8.82148756470881,8.91906680127229,9.54749166681064,8.84450348278587,8.93645925458789
"ENSMUSG00000001424",10.2792086663604,10.402819534967,10.30883699008,10.4312152768966,10.2085009775388,10.2299170581034,10.1218982977113,10.3676353833436,10.2333831706668,9.71215927290348,10.0870647252334,10.0383946621353,10.2659571312127,10.1976236271226,10.1142360900435,10.2933970961475,10.2637135014571,10.1896842100347,10.2888468085692,10.5235695222746,10.1122192600501,10.2758069168645
"ENSMUSG00000001506",5.24047041368252,5.26711830896232,5.5521820619007,5.47632849010264,5.65656014128673,5.74710264801805,5.31694182067934,4.99116871676912,4.25921864904852,3.98840692984745,4.78841422098756,4.84368929181522,4.99887659120953,4.09986404868289,4.66492433667975,5.58204162791599,5.14049588323875,4.36642918457964,5.60293251318125,6.80703157038471,5.51952340436792,4.58806873271521
"ENSMUSG00000001755",7.14401228449262,7.23874309824213,7.0361793120005,7.33294672154923,6.90281344744512,7.3280328244856,7.24674971997417,7.42413378119081,7.26321276581169,6.59755227644557,7.07747611781045,7.15066275177816,7.26621979913951,6.96337959343734,6.84192560952549,7.03539876628425,7.46156209631673,7.25417398401089,6.93838678844545,6.93781701186569,7.06199161758791,7.07100514636008
"ENSMUSG00000001763",6.7356524953003,6.77841464072741,7.07243036388136,6.75245141746762,6.99268193663273,6.43070682435915,6.73004172866468,7.09318769133672,6.69064018955724,7.19391524638601,6.96919343084034,7.15066275177816,6.78634533917717,7.111109120774,7.04783457247621,7.08709722941302,6.9640574276481,7.72478076264792,7.08609649411256,7.14455119742838,7.19557204350164,7.05792819239269
"ENSMUSG00000001774",9.88612940688785,9.7771844585497,9.83540078899044,9.64235185685977,9.76318880694255,9.60016976580094,9.72201131550154,9.31989257466422,9.75198933132818,9.73191846105829,9.68341511517872,9.70335656077504,9.94034768998268,9.96622424728524,9.80491283898965,10.0930355327349,9.91253330945946,9.92689684390436,9.9943920266247,10.3280863322333,9.79191583355995,9.71105045787213
"ENSMUSG00000001785",8.60503497380543,8.40866935271813,8.5380453897555,8.53490997666744,8.30529365846636,8.50070010988262,8.47764861873382,8.4050211117515,8.58725207169614,8.76134781935259,8.4287324563906,8.50701460746409,8.67082645406052,8.51960958281163,8.42985107651562,8.33369210078671,8.46384337431361,8.46873614642058,8.51895707820064,8.88640875443568,8.32680129180606,8.54951773041679
