"","sample","time","sex","cell","SampleID"
"13","X13A",2,"male","D2","X13A"
"14","X13B",2,"male","D2","X13B"
"15","X13C",2,"male","D2","X13C"
"16","X13D",2,"male","D2","X13D"
"17","X14A",6,"male","D2","X14A"
"19","X14C",6,"male","D2","X14C"
"20","X14D",6,"male","D2","X14D"
"21","X15A",10,"male","D2","X15A"
"22","X15B",10,"male","D2","X15B"
"23","X15C",10,"male","D2","X15C"
"24","X15D",10,"male","D2","X15D"
"25","X16A",14,"male","D2","X16A"
"26","X16B",14,"male","D2","X16B"
"27","X16C",14,"male","D2","X16C"
"28","X16D",14,"male","D2","X16D"
"29","X17A",18,"male","D2","X17A"
"30","X17B",18,"male","D2","X17B"
"31","X17C",18,"male","D2","X17C"
"32","X17D",18,"male","D2","X17D"
"33","X18A",22,"male","D2","X18A"
"34","X18B",22,"male","D2","X18B"
"35","X18C",22,"male","D2","X18C"
"36","X18D",22,"male","D2","X18D"
"37","X19A",2,"female","D2","X19A"
"39","X19C",2,"female","D2","X19C"
"40","X19D",2,"female","D2","X19D"
"45","X20A",6,"female","D2","X20A"
"46","X20B",6,"female","D2","X20B"
"47","X20C",6,"female","D2","X20C"
"48","X20D",6,"female","D2","X20D"
"49","X21A",10,"female","D2","X21A"
"50","X21B",10,"female","D2","X21B"
"51","X21C",10,"female","D2","X21C"
"52","X21D",10,"female","D2","X21D"
"53","X22A",14,"female","D2","X22A"
"54","X22B",14,"female","D2","X22B"
"55","X22C",14,"female","D2","X22C"
"56","X22D",14,"female","D2","X22D"
"57","X23A",18,"female","D2","X23A"
"58","X23B",18,"female","D2","X23B"
"59","X23C",18,"female","D2","X23C"
"60","X23D",18,"female","D2","X23D"
"61","X24A",22,"female","D2","X24A"
"62","X24B",22,"female","D2","X24B"
"63","X24C",22,"female","D2","X24C"
"64","X24D",22,"female","D2","X24D"
