"","sample","time","sex","cell","SampleID"
"1","X19A",2,"female","D2","X19A"
"2","X19C",2,"female","D2","X19C"
"3","X19D",2,"female","D2","X19D"
"4","X20A",6,"female","D2","X20A"
"5","X20B",6,"female","D2","X20B"
"6","X20C",6,"female","D2","X20C"
"7","X20D",6,"female","D2","X20D"
"8","X21A",10,"female","D2","X21A"
"9","X21B",10,"female","D2","X21B"
"10","X21C",10,"female","D2","X21C"
"11","X21D",10,"female","D2","X21D"
"12","X22A",14,"female","D2","X22A"
"13","X22B",14,"female","D2","X22B"
"14","X22C",14,"female","D2","X22C"
"15","X22D",14,"female","D2","X22D"
"16","X23A",18,"female","D2","X23A"
"17","X23B",18,"female","D2","X23B"
"18","X23C",18,"female","D2","X23C"
"19","X23D",18,"female","D2","X23D"
"20","X24A",22,"female","D2","X24A"
"21","X24B",22,"female","D2","X24B"
"22","X24C",22,"female","D2","X24C"
"23","X24D",22,"female","D2","X24D"
