"","sample","time","sex","cell","SampleID"
"1","X13A",2,"male","D2","X13A"
"2","X13B",2,"male","D2","X13B"
"3","X13C",2,"male","D2","X13C"
"4","X13D",2,"male","D2","X13D"
"5","X14A",6,"male","D2","X14A"
"6","X14C",6,"male","D2","X14C"
"7","X14D",6,"male","D2","X14D"
"8","X15A",10,"male","D2","X15A"
"9","X15B",10,"male","D2","X15B"
"10","X15C",10,"male","D2","X15C"
"11","X15D",10,"male","D2","X15D"
"12","X16A",14,"male","D2","X16A"
"13","X16B",14,"male","D2","X16B"
"14","X16C",14,"male","D2","X16C"
"15","X16D",14,"male","D2","X16D"
"16","X17A",18,"male","D2","X17A"
"17","X17B",18,"male","D2","X17B"
"18","X17C",18,"male","D2","X17C"
"19","X17D",18,"male","D2","X17D"
"20","X18A",22,"male","D2","X18A"
"21","X18B",22,"male","D2","X18B"
"22","X18C",22,"male","D2","X18C"
"23","X18D",22,"male","D2","X18D"
