"","X10A","X10B","X10C","X10D","X11A","X11C","X11D","X12A","X12B","X12C","X12E","X7A","X7B","X7C","X7D","X8A","X8B","X8C","X8D","X9A","X9B","X9C","X9D"
"ENSMUSG00000000148",7.79729382940753,7.6649126620743,7.88245007779855,7.8499262526889,7.66624070046436,8.16848785468318,7.9066183317165,7.87127260154247,7.5041305872207,7.87897231880651,7.86028322893555,7.54235036391497,7.56408102560289,8.06878307002514,7.76906773593949,7.51992609296157,7.5870496652947,8.05964319433146,7.86858940269384,7.44584425110149,7.81470837928566,8.22488742229446,8.10653370851016
"ENSMUSG00000000184",9.15358517992196,8.97217311537232,9.03678540948118,9.41637944422658,8.97393673796849,8.85964785221229,8.955033609839,8.88955198117606,9.13396744974385,8.69891020447396,8.8477972206625,9.07260393835972,8.45936298609613,8.76271902618057,8.65372235464083,8.96239813204921,8.60278277620891,8.95795434727091,9.20949035791578,9.25646038352154,8.85079888674917,9.27606212640902,8.99903018756019
"ENSMUSG00000000295",6.99651436961423,7.34862375501598,7.33473563163022,7.20647639801383,7.3947011178757,7.32049495610262,7.26817467330744,7.16512747123035,7.65472775942989,7.02040555348224,7.05757725662252,7.18198981597821,7.48173098864695,7.24500279988762,7.49847946337349,7.37564094635068,7.61291088235766,7.56023016854837,7.38562964688769,7.180180538307,7.70461338788317,7.05968459689086,7.48512233707705
"ENSMUSG00000000305",8.93878675768616,9.21370226795923,9.48143195507184,9.51160624616943,9.24646046976119,8.87200503226782,9.10769308576294,9.16731936866515,9.4561710511607,9.08847688585849,9.20687942061867,9.42063878740185,9.53228719015904,9.498355411233,9.48094241463635,9.5648143510579,9.79131811298078,9.32077846484238,9.44434015637847,9.25849332364914,9.50126849684363,9.1032939689474,9.39645717921798
"ENSMUSG00000000957",5.87012023677014,5.65522319645991,6.02255962807385,6.13683459391408,5.95838588783764,5.90547248662854,6.4215651098582,5.97650249570375,5.75513151896756,6.4302262348637,6.64614527839226,5.90969742750389,6.06602138968655,6.2117308387999,6.14622920563569,5.73884696552024,5.68447733023282,5.35627500613939,5.96726272143644,5.72099880873414,5.51296983457097,5.62764721491253,5.76381457257452
"ENSMUSG00000001156",9.09580795868338,9.16706573553702,9.00755885944849,9.14799506781575,9.09737538143921,8.93519872690536,8.94870488895126,8.8046332419579,9.10406809844731,9.07817247405878,8.90618921467649,8.9208985328939,8.95630746772961,8.94603378971681,8.81561265273915,8.78237980076635,8.98836265691355,8.84002055390904,8.92152463509453,9.12447156258246,9.21238707046934,8.91665842273006,9.06164595244807
"ENSMUSG00000001424",10.0789522945713,10.3023700398832,10.1271114433589,10.2977301446188,10.2425081938653,9.89186089133866,10.1905896934578,10.1003985642697,10.3630499030823,10.0348280557381,10.1933694303971,10.3230201818546,10.4322121189475,10.064747570213,10.192152515863,10.2825898802665,10.5202490669387,10.1740531623329,10.1007568434264,10.2754985143638,10.2952418873136,9.98272298202181,10.2321134550547
"ENSMUSG00000001506",4.94531155352696,5.07417156133341,5.85091238209281,4.70142365283692,5.25447485233617,5.72650552167286,5.43829795697664,5.76674692126039,5.35575324391956,5.78767773224448,5.46169130215278,4.84634305384049,5.61464242072259,5.23106582099469,5.02527988445319,5.13183242979328,4.50691498944299,4.65329582838308,6.67193153332517,5.34597063666471,4.59448027795874,5.46136509888551,5.03448633742615
"ENSMUSG00000001755",7.11204775705305,7.36142636389754,7.37754147218595,7.35416384725086,7.25539802056576,7.49041895555238,7.08410216896402,7.09329349888977,7.34280492605865,7.02040555348224,7.2690837306128,6.91916262577042,7.30827063631613,7.1843842630974,7.09621992045625,6.97606167555823,7.18316811224716,7.04487321586411,6.78899969454884,6.8216725667349,7.04994895857099,6.98808928316714,7.00108824842642
"ENSMUSG00000001763",6.93508207571115,6.74220915027571,7.11624119861496,6.9387231215665,7.1254004387683,7.20802095802752,7.22692863755857,7.06853140788345,6.97984788607023,6.83700673122753,6.99097868720716,6.88676940244848,6.61095667336742,7.0645679203643,7.13600845812591,6.72527569383452,6.59453339529578,6.82598990178063,6.95568666388218,6.85429947626828,6.76186052571707,6.88674273854363,6.94903789995426
"ENSMUSG00000001774",10.2526687158469,10.1857427075549,9.82857214375589,9.8254746943558,9.71242022516385,9.9614552943631,10.2315698162643,9.80551885644057,9.99934968029172,10.1012135107149,10.0163304281474,9.91807441154408,10.0589376316438,9.76253910572516,9.94298119958755,9.76634441181919,9.67184224481947,9.65436900424836,9.76330125869698,9.82563175391686,9.6979811097916,9.72640466193594,9.63750967022414
"ENSMUSG00000001785",8.31406253977208,8.48246357629438,8.47197235828284,8.38942896246917,8.30819881484975,8.11750410617929,8.22210529585715,8.32249248451804,8.58917982656721,8.26699737738184,8.25497004974988,8.56260047269595,8.66792987681112,8.22312160112581,8.40775009217713,8.69994204435591,8.67207314145789,8.45688677055516,8.49399244607141,8.42369672147585,8.65453430068715,8.31542214031682,8.26394314219259
"ENSMUSG00000001946",6.23886684774304,6.1590889860781,6.44103546078868,6.39254762626636,6.01130804815394,6.89338773153769,6.52727765121171,6.50542711181583,6.08401331294319,6.34684149833615,6.7302108509409,6.12865745722857,6.11367433189971,6.49452703971447,6.55126884934035,6.036289662014,5.58346032803339,6.23555697923436,6.54451818022231,6.14684958315067,6.05183015939244,6.7051709076678,6.62339902816899
